Course Prefix,Final Grade,Student
ASM 246,A,145
ASM 246,B,392
ASM 246,C,168
AST 111,A,113
AST 111,B,118
AST 111,C,48
CEE 181,A,82
CEE 181,B,44
CEE 181,C,28
CHM 114,A,11
CHM 114,B,27
CHM 114,C,24
CIS 105,A,127
CIS 105,B,264
CIS 105,C,112
COM 100,A,174
COM 100,B,229
COM 100,C,135
CPP 112,A,30
CPP 112,B,25
CPP 112,C,3
CSE 110,A,68
CSE 110,B,25
CSE 110,C,5
ECN 211,A,22
ECN 211,B,76
ECN 211,C,61
ECN 212,A,23
ECN 212,B,48
ECN 212,C,96
ENG 101,A,350
ENG 101,B,138
ENG 101,C,45
ENG 102,A,266
ENG 102,B,110
ENG 102,C,36
EXW 100,A,409
EXW 100,B,264
EXW 100,C,36
FSE 100,A,7
FSE 100,B,2
FSE 100,C,1
FSE 150,A,7
FSE 150,B,2
FSE 150,C,2
HEP 100,A,154
HEP 100,B,104
HEP 100,C,17
HST 102,A,329
HST 102,B,307
HST 102,C,121
MAT 117,A,20
MAT 117,B,14
MAT 117,C,7
MAT 170,A,12
MAT 170,B,7
MAT 170,C,2
MAT 210,A,3
MAT 210,B,2
MAT 210,C,2
MAT 265,A,2
MAT 265,B,8
MAT 265,C,8
PAF 112,A,53
PAF 112,B,23
PAF 112,C,12
SOC 101,A,364
SOC 101,B,416
SOC 101,C,163
