,Course Prefix,Student,num,conversion_rate
0,ASM 246,179,514,74.17027417027417
1,AST 111,44,231,84.0
2,CEE 181,78,74,48.68421052631579
3,CHM 114,19,41,68.33333333333333
4,CIS 105,113,379,77.03252032520325
5,COM 100,118,409,77.60910815939279
6,CPP 112,6,52,89.65517241379311
7,CSE 110,35,60,63.1578947368421
8,ECN 211,45,113,71.51898734177216
9,ECN 212,66,101,60.47904191616767
10,ENG 101,129,402,75.70621468926554
11,ENG 102,60,349,85.33007334963325
12,EXW 100,136,497,78.51500789889415
13,FSE 100,1,9,90.0
14,HEP 100,157,116,42.49084249084249
15,HST 102,202,514,71.7877094972067
16,MAT 117,10,31,75.60975609756098
17,MAT 170,3,18,85.71428571428571
18,MAT 210,1,6,85.71428571428571
19,MAT 265,7,11,61.111111111111114
20,PAF 112,41,47,53.40909090909091
21,SOC 101,225,687,75.32894736842105
