Course Prefix,Student,Grade
ASM 246,student-00-100,0.85
ASM 246,student-00-202,0.89
ASM 246,student-00-209,0.84
ASM 246,student-00-226,0.8
ASM 246,student-00-275,0.92
ASM 246,student-00-304,0.76
ASM 246,student-00-366,0.82
ASM 246,student-01-143,0.79
ASM 246,student-01-212,0.78
ASM 246,student-01-254,0.84
ASM 246,student-01-261,0.81
ASM 246,student-01-275,0.92
ASM 246,student-01-304,0.83
ASM 246,student-01-356,0.94
ASM 246,student-02-175,0.85
ASM 246,student-02-181,0.87
ASM 246,student-02-193,0.81
ASM 246,student-02-253,0.83
ASM 246,student-03-13,0.79
ASM 246,student-03-168,0.86
ASM 246,student-03-190,0.76
ASM 246,student-03-199,0.92
ASM 246,student-03-241,0.9
ASM 246,student-03-263,0.82
ASM 246,student-03-280,0.91
ASM 246,student-03-314,0.9
ASM 246,student-04-12,0.74
ASM 246,student-04-156,0.95
ASM 246,student-04-194,0.89
ASM 246,student-04-218,0.82
ASM 246,student-04-226,0.87
ASM 246,student-05-129,0.86
ASM 246,student-05-190,0.79
ASM 246,student-05-270,0.94
ASM 246,student-05-293,0.95
ASM 246,student-06-227,0.79
ASM 246,student-06-353,0.91
ASM 246,student-07-220,0.89
ASM 246,student-07-241,0.81
ASM 246,student-07-253,0.84
ASM 246,student-07-280,0.88
ASM 246,student-07-294,0.92
ASM 246,student-07-371,0.92
ASM 246,student-07-377,0.71
ASM 246,student-08-205,0.93
ASM 246,student-08-208,0.78
ASM 246,student-08-267,0.93
ASM 246,student-08-326,0.92
ASM 246,student-09-186,0.75
ASM 246,student-09-221,0.95
ASM 246,student-09-262,0.89
ASM 246,student-10-129,0.84
ASM 246,student-10-183,0.86
ASM 246,student-10-225,0.82
ASM 246,student-10-248,0.83
ASM 246,student-10-254,0.86
ASM 246,student-10-260,0.83
ASM 246,student-11-153,0.75
ASM 246,student-11-155,0.93
ASM 246,student-11-228,0.85
ASM 246,student-11-241,0.83
ASM 246,student-11-272,0.84
ASM 246,student-12-120,0.97
ASM 246,student-12-223,0.72
ASM 246,student-12-251,0.92
ASM 246,student-12-275,0.82
ASM 246,student-12-377,0.9
ASM 246,student-13-288,0.81
ASM 246,student-13-301,0.88
ASM 246,student-13-305,0.81
ASM 246,student-13-355,0.94
ASM 246,student-14-100,0.81
ASM 246,student-14-205,0.92
ASM 246,student-14-260,0.97
ASM 246,student-14-291,0.8
ASM 246,student-15-164,0.85
ASM 246,student-15-200,0.93
ASM 246,student-15-299,0.85
ASM 246,student-15-300,0.88
ASM 246,student-15-326,0.84
ASM 246,student-16-100,0.78
ASM 246,student-16-200,0.8
ASM 246,student-16-243,0.81
ASM 246,student-16-253,0.89
ASM 246,student-16-260,0.82
ASM 246,student-16-280,0.81
ASM 246,student-16-352,0.82
ASM 246,student-16-362,0.91
ASM 246,student-16-371,0.94
ASM 246,student-17-226,0.79
ASM 246,student-17-247,0.78
ASM 246,student-17-254,0.8
ASM 246,student-18-199,0.79
ASM 246,student-18-210,0.89
ASM 246,student-18-256,0.78
ASM 246,student-18-259,0.82
ASM 246,student-18-260,0.93
ASM 246,student-18-265,0.89
ASM 246,student-18-380,0.88
